Culture,Fungus,Lichen
ASV1476,ASV2510,ASV1622
ASV1477,ASV2511,ASV1623
ASV1478,ASV252,ASV163
ASV1479,ASV253,ASV1634
ASV148,ASV256,ASV1635
ASV1480,ASV2574,ASV164
ASV1481,ASV2575,ASV1645
ASV1483,ASV2576,ASV1646
ASV1484,ASV2577,ASV1647
ASV1485,ASV2578,ASV1648
ASV1486,ASV258,ASV1649
ASV1488,ASV259,ASV165
ASV1489,ASV262,ASV1650
ASV1490,ASV264,ASV1651
ASV1492,ASV265,ASV1652
ASV150,ASV267,ASV168
ASV1509,ASV269,ASV1686
ASV151,ASV2705,ASV1687
ASV1511,ASV2706,ASV1688
ASV1512,ASV273,ASV1689
ASV1515,ASV275,ASV169
ASV1518,ASV2779,ASV1690
ASV1519,ASV278,ASV1691
ASV152,ASV2780,ASV1694
ASV1521,ASV2781,ASV1695
ASV1523,ASV2782,ASV1696
ASV1524,ASV2783,ASV170
ASV1525,ASV279,ASV171
ASV1526,ASV282,ASV172
ASV1529,ASV283,ASV173
ASV153,ASV284,ASV1733
ASV1530,ASV2845,ASV1734
ASV1531,ASV2846,ASV1735
ASV1532,ASV2848,ASV1737
ASV1533,ASV2849,ASV1739
ASV1553,ASV2850,ASV174
ASV1554,ASV286,ASV1740
ASV1555,ASV287,ASV1741
ASV1556,ASV288,ASV1742
ASV1559,ASV289,ASV1743
ASV156,ASV291,ASV1744
ASV1560,ASV292,ASV1745
ASV1562,ASV2924,ASV175
ASV1563,ASV2925,ASV176
ASV1564,ASV2927,ASV177
ASV1565,ASV2928,ASV1770
ASV1566,ASV294,ASV1778
ASV1567,ASV295,ASV1779
ASV1568,ASV296,ASV178
ASV157,ASV298,ASV1780
ASV1571,ASV300,ASV1781
ASV1572,ASV3000,ASV1782
ASV1573,ASV3001,ASV1783
ASV1574,ASV3002,ASV1784
ASV158,ASV3003,ASV1785
ASV159,ASV3004,ASV1786
ASV1595,ASV3005,ASV1787
ASV1596,ASV301,ASV1788
ASV1599,ASV302,ASV1789
ASV160,ASV303,ASV1791
ASV1600,ASV304,ASV1795
ASV1602,ASV3069,ASV1796
ASV1603,ASV3070,ASV1797
ASV161,ASV3071,ASV1798
ASV1612,ASV3072,ASV180
ASV1615,ASV308,ASV181
ASV162,ASV309,ASV1812
ASV1628,ASV31,ASV182
ASV163,ASV310,ASV1820
ASV1630,ASV311,ASV1828
ASV1632,ASV313,ASV1829
ASV1634,ASV314,ASV183
ASV1635,ASV3159,ASV1831
ASV1636,ASV3162,ASV1833
ASV1637,ASV3164,ASV1834
ASV1638,ASV321,ASV1835
ASV1639,ASV322,ASV1836
ASV164,ASV3245,ASV1837
ASV165,ASV3246,ASV1838
ASV1654,ASV3248,ASV184
ASV1656,ASV3249,ASV185
ASV1657,ASV326,ASV186
ASV1659,ASV327,ASV1875
ASV1662,ASV328,ASV1876
ASV1664,ASV330,ASV1877
ASV1665,ASV331,ASV188
ASV1667,ASV334,ASV1881
ASV1668,ASV3347,ASV189
ASV1670,ASV335,ASV190
ASV1671,ASV3351,ASV1909
ASV1673,ASV3352,ASV1913
ASV1674,ASV3353,ASV1914
ASV1677,ASV337,ASV1915
ASV1678,ASV341,ASV1917
ASV168,ASV343,ASV1919
ASV1681,ASV344,ASV192
ASV1682,ASV346,ASV1920
ASV169,ASV3467,ASV1921
ASV170,ASV3468,ASV1922
ASV1707,ASV3469,ASV193
ASV1708,ASV3470,ASV194
ASV1709,ASV3471,ASV1947
ASV171,ASV3472,ASV1948
ASV1711,ASV3473,ASV195
ASV1712,ASV3474,ASV1950
ASV1713,ASV3475,ASV1951
ASV1717,ASV3477,ASV1952
ASV1718,ASV3478,ASV1953
ASV1719,ASV3479,ASV1954
ASV172,ASV350,ASV1955
ASV1720,ASV351,ASV1956
ASV1723,ASV355,ASV1957
ASV1725,ASV3559,ASV1958
ASV1727,ASV356,ASV1959
ASV1728,ASV3561,ASV196
ASV1729,ASV3562,ASV1960
ASV173,ASV359,ASV1961
ASV1730,ASV361,ASV1962
ASV1731,ASV362,ASV1964
ASV174,ASV364,ASV1966
ASV175,ASV366,ASV198
ASV1750,ASV370,ASV199
ASV1754,ASV376,ASV1992
ASV176,ASV377,ASV1993
ASV1761,ASV378,ASV1994
ASV1764,ASV379,ASV1995
ASV1765,ASV380,ASV1996
ASV1768,ASV381,ASV1998
ASV177,ASV384,ASV200
ASV1770,ASV385,ASV2000
ASV1771,ASV386,ASV2001
ASV178,ASV388,ASV2002
ASV179,ASV391,ASV2003
ASV180,ASV399,ASV2005
ASV1803,ASV402,ASV2006
ASV1805,ASV404,ASV201
ASV1806,ASV405,ASV2017
ASV1808,ASV410,ASV202
ASV181,ASV414,ASV2020
ASV1812,ASV415,ASV2037
ASV1814,ASV416,ASV2038
ASV1816,ASV417,ASV2039
ASV1817,ASV418,ASV204
ASV1818,ASV419,ASV2040
ASV1819,ASV428,ASV2041
ASV182,ASV431,ASV2042
ASV1820,ASV432,ASV2043
ASV1821,ASV443,ASV2044
ASV1823,ASV444,ASV2046
ASV1825,ASV445,ASV2047
ASV183,ASV446,ASV205
ASV184,ASV449,ASV2050
ASV1842,ASV455,ASV2052
ASV1843,ASV456,ASV2053
ASV1844,ASV458,ASV2054
ASV1845,ASV466,ASV2055
ASV1849,ASV475,ASV206
ASV185,ASV478,ASV207
ASV1851,ASV482,ASV208
ASV1852,ASV485,ASV209
ASV1853,ASV487,ASV2092
ASV1854,ASV488,ASV2093
ASV1857,ASV491,ASV2094
ASV1860,ASV496,ASV2096
ASV1861,ASV500,ASV2097
ASV1862,ASV503,ASV2098
ASV1864,ASV505,ASV2099
ASV1865,ASV506,ASV210
ASV1868,ASV508,ASV2101
ASV188,ASV509,ASV2102
ASV1887,ASV513,ASV2104
ASV1888,ASV514,ASV2105
ASV1889,ASV524,ASV2106
ASV189,ASV525,ASV2107
ASV1890,ASV528,ASV2109
ASV1892,ASV529,ASV2111
ASV1893,ASV530,ASV2113
ASV190,ASV540,ASV2114
ASV1900,ASV542,ASV213
ASV1903,ASV545,ASV214
ASV1904,ASV546,ASV2145
ASV1905,ASV550,ASV2146
ASV1907,ASV556,ASV2148
ASV1909,ASV557,ASV2150
ASV1910,ASV561,ASV2151
ASV1927,ASV564,ASV2152
ASV1930,ASV569,ASV2153
ASV1933,ASV570,ASV2155
ASV1936,ASV571,ASV2156
ASV1937,ASV572,ASV2157
