Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg10004,0,0,0,0,0,0,140117,0,0,0,0,0,8590,0,61438,50132,12472,3896179,829465,15395072,20338840,3817036,17949,31097,33116007,8994271,17416737,41436118,26387301,3490420
neg10012,10193,0,15862,15186,89282,24153,0,0,53988,37458,5511944,12242091,0,5633,73191,47430,4159,519140,1120425,536287,838746,522096,0,0,202961,539949,150324,265957,182716,235336
neg10022,0,0,0,0,0,0,0,0,6377,0,0,0,0,0,603275,186384,157410,117292,490844,612259,552770,511545,776614,486592,4891170,688557,764178,915295,3298400,662907
neg10024,0,0,0,0,0,0,10017,0,0,0,0,0,0,0,10025,8510,7569,80946,89335,660268,174000,15201,73959,35867,239923,39793,143179,43344,99829,2007175
neg10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225322,1655470,1093383,444563,508630,150740,855558,1925589,1625269,480718,466945,284767,191193,106534,244963,936025
neg10028,0,0,18909,10210,13532,11068,0,0,0,75493,7749,47330,0,77375,140816,245169,311624,319049,743834,141558,428992,1198837,404108,1222801,540567,146318,112409,541501,706583,8130708
neg10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682741,134604,53637,17671,328565,42710,3330554,1004044,785367,548593,895728,205637,79605,561704,864679,748028
neg10045,0,0,0,3830,17746,146563,0,3176,40019,0,3201,8783,3705,548628,1157681,1196016,226474,101345,173798,44849,487686,1062979,1104333,368328,146767,112957,110810,91479,412553,360329
neg10052,0,0,0,13180,14851,6743,0,0,0,0,0,0,0,0,1703487,716506,247300,111009,1206590,186853,381904,954185,816139,1060205,122668,57315,61277,54527,234703,1399644
neg10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20612,0,0,0
neg10074,0,0,0,0,0,0,0,0,12372,0,2474,2959,0,0,2220203,5574878,3682239,282989,639882,42335,304139,690325,981062,973414,179222,76094,175372,131512,396135,1594343
neg10085,0,8451,0,75746,0,0,0,18541,19295,0,107516,156856,8477,23720,67572,85678,46992,29678,365182,836566,303343,345320,365513,61677,763006,123189,567568,703176,1028848,43445
neg10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739528,7764,275209,352439,14751,0,0,0,0,0,1689279
neg10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142328,0,9183,14488,76274,21466,75242,0
neg10106,77651,47094,27469,33315,0,229769,45524,163444,0,15078,26703,15035,22934,0,34036,32328,45132,548920,44748755,14522137,19280088,1163332,247451,10287,13278074,8151992,10042516,9925730,13304498,104134
neg1011,14799,0,0,15305,0,55560,46712,308783,0,82560,21533,0,0,26736,66375,46191,15290,0,76304695,8603978,6785558,35429,7475,148832,26112822,9415174,59510884,3501894,4326921,6458
neg10116,3281,0,11486,10723,64734,36509,5076,10795,8595,17865,38701,48997,0,72715,619797,136326,42225,14969,219885,60059,367236,85298,4079702,567738,1967535,111482,163467,634709,1334803,126596
neg10127,6012,43252,0,0,0,0,14440,0,23108,0,0,6372,0,0,391572,2131498,69651,43468,965375,1421086,135810,44230,141383,100364,2255223,448408,662418,3517686,801388,48109
neg10141,0,0,0,0,0,0,0,4330,0,0,0,3352,0,0,3252798,7321507,1825483,236981,387754,1624152,1684721,273786,1787371,366623,2341553,375666,1582973,617910,2131705,207039
neg10149,0,0,1623,0,0,4896,196345,0,0,2821,0,0,0,0,885508,444933,4752,12350,104839,450779,238692,1990447,2917606,2827790,44043,163897,13982,352302,30564,1357386
neg1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5797614,6666153,19297740,0,0,57609,4677758,7001857,11291933,4378178,3075647,0
neg10170,4982,4212,2649277,2119513,1245738,1562184,12412,6244,7188,2324919,1238615,1616834,5563,460739,92113,250968,60226,189624,394410,100849,155772,204908,443320,757734,840817,107093,132000,393197,575322,422365
neg10173,7595,0,0,0,0,0,0,0,12678,0,0,0,0,0,0,0,3143960,0,11734,0,537126,0,2103332,0,21681,13581,763,414253,8754,50954688
neg10175,18276,27837,12887,0,24137,21579,0,0,21090,12619,13123,15432,23987,30493,441363,103280,69884,55769,205566,76619,436213,746107,1480617,499575,1714545,220642,105494,269995,1287990,496741
neg10194,4336,0,0,0,0,3639,0,0,54397,0,0,0,0,0,291577,247429,29709,145873,147776,260565,788025,5112620,61467,57820,496318,105515,194803,263297,825293,413697
neg10199,0,0,0,0,64196,28268,0,0,0,0,0,0,0,0,0,0,0,0,0,1559031,35588,904348,0,0,0,0,0,0,0,1747546
neg10242,3204,0,0,3921,9149,6676,0,11102,19154,3929,13779,14678,10533,5187,79967,174390,27259,370595,998176,341444,781077,180082,1139693,48175,139201,241762,211221,395645,412497,303412
neg10244,0,0,4890,7990,370554,38344,0,0,9815,0,4614,6141,0,0,1485658,1997158,717309,243815,178346,743272,542872,574996,592692,380703,224617,89738,264637,38964,197580,151031
neg10250,0,0,0,0,0,0,69807,0,0,0,0,0,0,0,81564,23768,0,0,39554,0,72636,0,16574760,1205739,146373,2671252,77230,16437,1333731,20508
neg10255,0,0,6084,97278,372744,45877,0,8996,0,38399,5126,2726,0,27176,1758062,4112202,913511,140994,388129,77034,454320,682489,2048896,532790,323554,91939,295967,136750,424691,594804
neg10262,0,0,0,0,0,0,0,10691,0,0,0,0,0,17096,2646121,3793639,1278782,194283,503698,788311,690593,588054,1932356,1214338,267179,35781,340426,100486,142628,551187
neg10266,0,0,0,0,0,0,0,0,0,0,12355,14313,0,0,865187,2119010,1102736,120785,120327,215220,194340,217190,253047,278958,165569,54785,213116,104471,298059,104796
neg10277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472006,1996774,329117,74960,571247,42270,881137,632703,1452000,324145,226161,37707,45828,52892,265374,854235
neg10278,0,0,0,0,0,0,59654,0,0,0,2784,0,0,0,0,0,895,0,0,0,0,0,10549084,1608864,23772,476780,0,0,268642,21345
neg10286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316818,286899,87093,50929,859781,400457,1424065,31583123,725593,84405,3711259,3933352,4398274,5243065,828770,2590968
neg1029,804256,273317,589600,337643,406835,613767,444693,931294,728508,635877,1329007,1489648,516890,276328,919397,1238927,450307,647683,12777241,7335134,7606707,713881,8566784,0,11880308,5930518,7655812,17952832,14272437,822456
neg10291,5735,17891,0,0,0,0,15657,0,0,0,0,0,7612,0,409854,221540,13726,53582,1564389,852299,1225562,372399,1290700,129002,2153372,1665931,842036,1386116,2597042,311796
neg1030,606944,0,385866,249453,269563,623320,539635,555852,462999,486690,857829,1402588,214823,245408,2170889,2641895,1056707,1237337,77735216,22962939,36433595,2299728,31350112,231619,75143581,28283988,29345090,115416939,106400615,3294941
neg10303,0,0,9414,10723,51734,21636,4084,4619,8595,17865,38701,24162,0,22739,644771,136326,42225,14969,384409,60059,316547,85298,3534274,485815,796809,111482,163467,317747,638638,126596
neg10309,1147674,665780,1429374,1018957,1306496,851225,743709,1231018,1602553,3022186,2924267,842125,857945,326403,1356346,803591,68808,1270980,559402,535063,1088513,1954927,1221707,349958,1431596,422037,473981,1732212,653776,398415
neg1031,475966,230324,527215,2962179,240472,651786,7786719,5339941,8584862,1564329,1617026,1121153,295348,98419,3038009,5492627,1053921,2361549,24503030,13041926,49191475,6188783,46091812,2043715,281534364,20322623,67322700,114886182,472171255,2173596
neg10315,7911452,431733,0,0,0,0,0,0,0,0,0,0,154148,0,4838,0,0,0,0,0,0,0,0,0,8718,0,0,5889,0,0
neg10321,1772259,3020715,25906,33482,73646,200751,65486,51699,154078,15465,12403,12526,198625,74784,4878,0,1514,5473,4880,4086,5334,5853,15419,9963,11277,0,3609,4650,9223,2998
neg10349,278248,331271,86671,60305,249401,0,0,19793,0,153648,0,0,0,21010,45138,429015,64245,25918,9254,6128844,107284,3560007,108277,31088,47609,7067,35263,34149,47613,29114
neg10357,239756,205086,119089,69505,240663,105682,59976,0,149774,215196,0,0,194943,52393,814310,320632,256428,236305,316411,53506,232196,732600,2203194,1936594,394587,48530,87655,122870,436798,1660981
neg10358,0,0,0,0,50136,0,0,62982,0,0,0,0,0,0,161651,0,487177,0,33168247,2861138,12470166,0,88525,325323,14210943,3204303,8206146,7585002,6015296,0
neg10362,0,0,0,0,8109,0,0,0,0,0,0,0,0,0,0,0,0,0,1269630,10346332,36938,58713278,107198,176172,0,0,0,0,0,13489577
neg10364,5603,0,0,0,0,0,6339,0,0,5606,0,0,0,0,0,6677,2537,0,0,7290018,53693,37555839,0,0,0,0,0,0,0,69512216
neg10365,0,0,0,0,14737,0,9294,14782,85068,9087,9593,0,11592,69615,41837,20226,8960,0,78039,2097235,53714,8094383,5782597,595196,4693,0,9067,0,10192,4948194
neg10369,0,4985,0,4221,0,0,8609,14565,0,0,5250,9231,8602,6467,11352,5400,1716,0,0,1857900,19672,23486938,31065,23623,0,0,13101,0,1878,1889302
neg10370,0,0,0,0,0,188103,332140,359184,0,0,0,0,46687,0,859788,3950299,1007176,663193,9869202,20199166,4464869,18021132,11255840,403153,856140,688266,11766360,1160648,1895035,2103215
neg10371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6255,395324,3106182,5516,16799533,11886,0,0,0,0,0,0,3867157
neg10374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17371,1563666,10680,13744124,14776,0,0,0,0,0,0,4139079
neg10375,0,0,0,0,0,0,0,0,7385,0,0,0,0,0,4113,0,0,0,0,126694,870,17739492,0,0,0,0,0,0,0,309839
neg10376,8530,3841,0,0,0,0,6185,7937,20615,0,30565,27371,7705,0,97596,337033,3519,3962,13804,1243179,19776,16788461,57536,53489,8579,0,4735,0,0,218340
neg10377,0,11404,0,0,0,0,10834,12911,104105,0,0,0,8309,0,28087,1442459,195013,0,12997,3390764,28991,16101344,98086,24550,9451,16249,6820,0,11033,3462636
neg10378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14388203,0,15054408,0,0,0,0,0,0,0,1917328
neg10380,0,0,0,0,0,0,3373,0,0,0,0,0,0,0,0,0,0,0,0,19316860,0,7639571,0,0,0,0,0,0,0,1504311
neg10382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,20877,0,6716680,6186,0,0,0,0,0,0,219771
neg10386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87328,1606500,217878,2032471,4997735,0,0,0,0,10504,0,7645,0
neg10389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83107,33254,12599,9435,1735252,690656,1674207,7037796,150032,36598,19704,4961,10389,13792,8555,187465
neg10390,0,0,0,0,0,0,0,0,21075,0,0,0,0,0,14695,0,0,0,152391,633711,29541,6576892,0,48605,8671,1453,0,3510,10727,523375
neg10391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4187169,0,4054841,0,0,0,0,0,0,0,169949
neg10394,0,0,21679,18206,0,0,0,0,0,2561,0,0,0,8682,0,0,0,43450,0,128903,0,4637994,0,0,0,0,0,0,0,1243436
neg10395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5291,5208,1304,0,0,954215,3844,4326686,0,0,0,0,0,0,0,9032471
neg10401,0,0,0,0,0,0,3698,0,0,0,0,0,3606,0,0,0,2136,0,0,3656639,7212,3056648,9995,6763,0,0,16029,0,0,304433
neg10402,0,10307,65531,25776,77606,212269,135807,0,11362,106094,16974,55800,11474,115938,428218,11322031,55959,73327,46192,36099,86675,5975312,487572,328669,85797,6287,46359,16389,114855,27802
neg10403,0,0,0,0,0,0,0,0,0,0,0,0,4413,0,3728,4358,0,0,0,2898347,4072,2787784,0,12448,0,3964,3948,4517,0,390705
neg10404,4772,5478,3919,5221,3831,6373,8042,0,20762,4068,0,0,11413,0,200252,317494,105280,467069,1298334,313437,630029,4095763,207863,462404,447841,128950,138062,119510,575077,7289465
neg10405,0,0,3727,2888,5122,3085,5304,5482,28335,6719,0,0,0,0,325834,197450,69652,101530,983713,200249,301597,4983782,676630,103772,549493,69442,106461,212478,477240,449956
neg10407,131413,255132,7571,0,186199,0,0,0,0,77094,0,0,0,0,261509,187825,117294,18714,28160,6241530,154601,4583405,630677,61411,138796,31321,68556,176302,193790,138638
neg10417,0,0,0,0,6375,0,0,5440,16019,0,2772,3478,3878,0,86733,425292,102536,418466,1148817,91137,495426,1988989,512908,424784,325875,72397,79630,62084,172569,1645988
neg10422,673542,7010,139636,0,33659,2023540,1378637,1427131,639935,3075,1813860,1213345,7960,3268155,4860143,3846339,10042239,879420,1796598,3566051,1885113,309538,4842068,87656,872172,2722863,6993940,7581771,5935803,2037710
neg10425,287214,0,165511,0,8495,2659054,4020794,336406,1091871,4062,730823,4390281,0,4702107,3391219,5679138,1357077,1658221,761269,7089505,1269058,504394,2503438,590967,637530,1310792,2798903,3113641,539077,6390711
neg10431,204684,0,50304,0,0,1776875,388803,44386,0,0,131401,339195,0,35684,0,0,708,0,0,0,0,0,0,0,0,0,114767,250660,1528,0
neg10433,153916,0,36639,0,0,1611082,147125,4833,0,0,141549,308289,0,57402,0,0,0,35890,0,0,4772,15114,0,0,0,0,3446,0,0,0
neg10442,431811,0,738030,0,0,1389177,334256,19327,60072,0,116968,144213,0,507324,407135,174320,84664,215727,263840,898754,212664,106249,1128487,296585,761617,604934,660152,284823,77834,323515
neg10451,103837,0,27318,0,0,1675559,11123,5847,19524,0,0,0,0,0,100560,82024,18751,0,0,0,13010,0,6002,8117,2575,0,35352,57057,1530,864512
neg10454,93612,0,78656,3309,4516,1440933,19835,52367,490085,0,23923,17646,0,38580,29146,15793,15140,27129,13253,12094,29466,15267,66965,7754,16048,35958,83237,44300,18480,15462
neg10460,3112313,17045,2525502,0,27916,849792,121852,112842,100750,0,2102197,240592,43657,508129,108170,41114,71534,341221,143893,206785,1213065,3267684,343869,43623,1223839,170575,568350,604101,261627,147271
neg10465,769804,0,910534,0,0,2005056,1044162,13698,166540,0,321637,992449,0,742391,16618,20997,3694,395464,62390,168990,293445,1039223,1242682,482557,571136,625543,2708803,599765,109323,23888
neg10468,783338,72756,811712,0,200071,4447492,1988277,497241,221299,0,220493,322905,18266,1223200,1282227,797415,993830,1196904,720445,2049074,746609,561218,798729,280298,530083,222603,848015,1416244,578624,5115866
neg10471,541587,0,1509788,5369,9410,1166141,1082397,185383,69629,0,258173,930915,0,728273,272272,179551,145908,709370,56016,157308,236001,760435,1833446,997482,1269722,2579529,4421964,507697,139005,480814
neg10473,197564,0,589265,0,6941,1309437,315851,264875,74277,0,205596,180079,0,41513,242812,40085,215080,279586,65738,318233,132656,146199,642398,23019,124800,618921,195298,49094,56000,269997
neg10478,745621,0,553299,0,0,1163129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62317,90537,0,0
neg10481,586697,0,1428800,0,11800,574529,194130,6317,0,0,24994,76479,0,55234,0,0,0,32276,4843,0,20691,89881,118640,42280,48124,77704,378375,233850,15910,0
neg10485,6350343,0,5999141,0,0,1159916,23785,0,16923,0,27735,26402,0,0,0,0,0,7787,0,0,60492,34301,101514,6029,115342,19604,83351,178123,122972,0
neg10487,692794,23400,731142,0,0,1207721,446122,100723,73602,0,259073,419763,0,319070,688222,428214,167473,216565,57224,114430,90459,34593,52054,5725,73957,75566,238930,722976,56788,92695
neg105,23899789,36905267,30917945,15584491,21847355,15701465,29702134,18594061,17607112,24080710,38629616,33728639,32031228,26666535,19176255,24127747,19076502,5718044,6612011,31487485,5636979,17555174,18612810,12192468,24691109,18242835,20707893,19724654,12464723,23360761
neg10502,549630,9744,315550,6066,0,1076617,524891,0,10724,0,450608,563422,0,3270509,0,3170,2300,1706296,2589,0,648221,611877,0,0,0,5593,0,0,1884,2085
neg10514,92798,8400,46742,0,66380,914584,17635,26827,0,10556,32272,87813,4967,43752,167605,246293,63113,34402,93941,12128,34397,9592,10236,24834,4060,7617,48183,55425,25213,34670
neg10517,339728,0,301095,21440,152401,3129901,722613,145841,764421,0,233038,1573151,0,2096602,2611098,685543,1616528,694706,366099,2825104,613630,281289,294971,105692,212619,178163,455546,1796284,332662,2758941
neg1052,12303,0,17828,3278,0,26068,383457,0,3238,0,27835,58689,30993,0,613105,233470,25476,181358,190981,79513,57595,81830,10279002,4704028,100635186,8786799,74635898,51712516,100863269,153382419
neg10521,809625,0,149978,0,0,1493069,405829,779547,231643,2721,666727,1024187,5864,1517915,1398256,635672,1637007,670446,495173,4705726,986807,196915,1929715,93738,544636,1246733,2514465,3969144,1690918,274548
neg10523,141307,0,107315,77902,44654,1030749,0,0,0,6412,5724,0,0,87891,0,0,474,0,0,0,43088,21828,29494,0,171776,120535,160248,182799,14749,0
neg10528,286244,6555,679376,0,0,929052,14648,27739,0,0,18220,13261,0,15808,12243,3744,2650,16102,52124,68442,11291,0,5060,2292,1602,9277,524903,1389194,12288,40835
neg10542,32052,57855,16200,6393,33523,871134,54599,26880,17149,29362,86841,38809,203885,45379,78927,33646,28615,30183,134518,141094,45689,3639,48218,17508,44114,36150,25747,22127,13192,33975
neg10550,74109,0,146422,5804,61035,894822,798176,164221,318070,13557,593081,758407,4750,264800,122457,48723,64887,146762,184185,172271,83829,28369,435353,54084,154149,451899,308578,33070,28019,73471
neg10556,94344,0,41894,0,0,1124466,266557,42554,489434,0,427269,713186,0,1555033,478135,288852,742033,450294,884336,2076442,205810,221844,527155,220405,238382,592783,878963,467888,284186,326366
neg10557,22255,0,38907,0,0,811902,459425,12281,0,0,279517,336232,0,56297,218512,140332,83082,39349,606474,857443,58328,50027,58353,6464,161317,85901,111370,164024,84320,777158
neg10560,93888,32289,113649,0,0,354995,1308927,36245,139983,0,280181,342546,0,1759190,785783,1245537,220901,486650,184746,1391977,198884,41511,258366,9946,17296,61888,225260,298708,47892,1015573
neg10561,178547,0,216082,0,152401,565205,289758,489391,428326,0,190462,326499,0,499293,1649572,608841,999158,426912,347812,453402,157918,348304,517860,106247,175784,389425,284965,805908,405179,1157593
neg10563,0,0,0,0,0,807086,15540,273259,0,0,0,20733,6150,29526,157943,90609,497653,0,109411,30763,7776,0,0,3382,0,14012,6093,0,13224,37373
neg10571,198903,0,66478,8693,74375,798405,15943,4924,43534,18479,2870,0,0,105159,7619,0,3315,54061,2285,11587,19422,1486,0,1669,0,5054,54469,184356,18001,0
neg10572,75904,0,235644,0,13104,1466813,6482169,30505,203942,0,2914774,6960124,0,924881,195959,731742,176457,81559,298320,883599,124576,74124,308410,92723,115928,359346,389909,539494,188490,152843
neg10574,178143,40266,259919,716292,37506927,2094039,476931,563563,226264,1650039,207976,116982,2317372,1464149,818825,1140288,891529,243955,118152,1480983,470818,338083,789924,125194,343574,242859,443382,477722,232807,1370325
neg10579,444000,16009,1342628,0,0,1894884,704696,340994,72059,0,99706,645003,0,782319,130469,120909,49283,432499,70351,194335,181605,404489,1279279,152007,727033,766576,643882,650044,70055,257159
neg1059,14123752,9725908,16891374,13613124,27767482,20067634,14828828,14665734,40237352,15935452,7827131,3810689,13739322,28349256,24777548,53464334,2986181,31181185,10710831,4208517,16406151,3073248,11274648,1965012,6964954,5023388,2268758,10261255,14342138,9098220
neg10600,318074,0,260444,0,0,879691,1560242,18235,37082,0,175052,1193618,0,64333,1004231,1205023,26035,30702,266075,2949663,178870,170700,326241,12111,285366,226150,155654,92350,128956,3571023
neg10609,155662,0,476901,0,0,1044437,348244,327657,97660,0,181872,671285,0,655603,67598,54555,46105,319169,29935,152857,69174,195884,458537,38245,233389,298894,544759,477053,98369,105540
neg1061,2850054,3914041,2567772,1507794,2150484,1798965,2586840,1667809,2573655,2194778,5083564,3868916,2895966,9520730,2374544,1993162,1364446,946053,857755,2659779,721005,1730561,1137632,690799,2014052,2274608,2521564,1749522,1289179,1851645
neg10612,411678,0,576318,0,506663,1646057,1076207,130669,333087,0,258680,690961,0,1410375,1016023,360572,639744,882813,379251,972076,175475,166593,395192,49015,83307,168997,285018,936777,204980,693944
neg10614,192101,0,181605,0,0,1489632,687296,111009,88922,0,60424,1259420,0,2671588,1327006,1683804,329270,1018772,126825,1029712,146184,423373,385601,24631,55768,110214,220502,2567947,182064,477671
neg10622,98797,0,94927,41947,963625,624290,630387,0,0,126516,473590,663016,126994,1731274,0,0,3924,955278,0,0,298638,293166,0,0,2160,0,0,0,17218,0
neg10626,176957,0,218505,0,0,1107782,129954,216274,877134,0,152899,272252,0,86878,30795,43367,135658,224040,253230,110227,208117,421842,490602,117909,235281,824228,343950,54009,48420,27271
neg10629,33662,0,8926,0,0,555023,72226,0,54112,0,8607,28664,0,52356,49031,0,27933,0,6442,7333962,4939667,3675,8535,0,2471,0,41019,71108,29738,324761
neg10630,205486,0,161207,23860,64218,643220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645913,1596644,76358,0
neg10641,78977,63925,117436,0,21707,4427315,94305,132874,176841,0,49490,148788,0,633841,130354,249713,786760,1174002,84780,996795,84777,82435,220996,13642,82964,59007,358440,1429457,203198,175696
neg10642,299496,0,385004,0,0,1470228,4430537,464438,436309,0,1282352,624331,0,1346183,1703792,1786939,1594779,770403,285106,3299292,921541,393095,600734,180636,235221,129398,1490675,3044560,422847,1963306
neg10647,957155,26708,1352658,0,506663,3023871,1463664,130669,610815,0,258680,768818,24604,3795244,1589868,331293,967260,1979191,344992,3894129,189181,94227,436491,60229,79793,129910,683611,2487613,162041,2433424
neg1065,18030997,30032234,7053861,6903468,12893698,6965562,3624647,7374293,72561999,5594569,5538377,4962994,11902836,9670150,13732898,7539387,1101594,7471302,13519482,10826150,13264400,12677830,4636686,1550720,3830282,2267658,1424889,2827081,2909013,2777302
neg1067,31947349,827786,67324055,56876040,77489804,76289820,29849316,20351207,274886652,42109782,48236251,6815145,32216197,126906398,6024584,9757433,5977361,8676068,7948082,2714061,4038157,8633804,1429759,977627,1487463,802953,1243042,1049725,1733729,3325940
neg10678,264522,0,132718,0,0,614788,57121,18287,424098,0,34451,52285,0,99626,71382,67233,19923,30613,6277,10165,663238,127631,4459354,62560,303089,3736203,3628975,15347,0,39777
neg10679,746055,0,732058,0,0,909921,1605612,183861,130676,0,200006,1264542,14111,1312110,992817,305467,430791,242242,1299987,5753808,218240,154846,534001,261237,247195,264341,522961,811855,116333,753154
neg1068,5006585,835819,581559,1380788,5268038,1673422,20307001,1488009,14110715,785112,6160417,5998837,4371777,1929322,13670120,11618608,6781795,40714929,46511490,143404636,148110192,8387825,27402422,6313385,12582616,8557923,64169378,18570050,20827814,13805653
neg10702,287214,0,260791,5017,109592,640517,4404764,336406,910188,0,647614,4390281,92763,4472243,2313542,2283402,1450724,594514,782885,7553765,1154319,278845,1298205,111606,394662,440120,2241026,1891784,436713,1760923
neg10703,186181,3894,378576,0,0,757504,374861,55840,387680,0,206130,407585,4067,231974,1056076,450430,877626,99808,90554,816664,203423,45413,101134,21491,73403,99952,92247,363120,52476,1412950
neg1071,0,0,0,0,0,0,169889,81220,45934,0,0,0,0,0,988078,690416,1245344,38146703,225760358,202736684,364064915,207769173,54420,618929,27395,300767,39430,170161,45411,206764
neg10718,264522,0,185782,0,0,1089677,71591,33475,620172,0,22433,17163,0,99626,71382,68800,24778,36070,6277,10165,382561,76609,824508,48239,238882,2041604,2042270,9997,11340,41601
neg10728,0,0,51353,0,0,378395,0,0,0,0,0,0,0,0,2164608,4205948,11703,0,594843,891729,391702,3300,0,0,0,0,0,0,21854,127154
neg1073,0,0,0,0,997245,0,0,0,0,0,0,0,0,0,119593,1797446,0,3611611,127045,18313975,155858,0,506203,113818,1306487,0,0,1492264,8880927,1087652
neg10732,29963,0,57438,0,0,464938,23347528,0,0,0,21576154,29572179,0,0,34877,0,9645,0,19798,0,0,0,0,0,0,0,17653,34248,0,0
neg1075,182019,5845207,765166,282686,2266517,2666540,540901,1994862,2068940,2124877,10352775,11481762,1188143,16026042,67115,186287,272924,1026332,44632,1350599,120190,248932,314134,22948,87931,147093,68016,56288,36695,93242
neg10754,86980,5464,108059,3492,15526,1265748,506121,532991,171541,3518,139678,1137104,0,1398372,1590582,1331709,914970,311313,67886,951622,86972,161211,117426,203034,130728,121653,607809,1255815,250783,1152099
neg10767,79379,0,1171247,0,72712,1433983,502546,215022,138907,0,113598,243121,0,246265,144018,92868,44196,208771,84514,572451,363108,112431,193325,61433,75181,161725,147646,538337,63364,450413
neg1077,144158,12661,0,0,0,0,0,0,14870,4160,42685,71857,0,0,7617178,2861328,1487204,10415901,3139731,1237056,2231274,4208597,14200753,11249860,2302297,766421,696594,1666440,5637417,8524829
neg10772,71445,0,61922,0,0,477889,231691,98691,65244,2167,264825,277637,0,1203897,1912528,3571502,1113748,628805,102026,2134485,519082,138268,339952,79748,104698,294599,1299707,2240964,329014,2222485
neg10774,197208,16183,215161,4742016,478771,351922,122402,62081,49095,91816,41250,239288,0,275368,465647,581308,240372,34320,105362,866460,219676,127537,897155,87026,348348,369207,270342,260149,71714,757520
neg10779,81189,0,74201,0,0,982401,196633,102321,61063,0,249972,122086,0,1202080,1775127,2578344,1683739,441243,239256,1282683,425030,77383,306237,52624,56247,446244,1198141,381887,317459,737575
neg1078,0,0,490910,196995,2989316,1697170,347243,746473,3422635,2844562,1391404,180249,0,6200110,403637,739588,318918,189830,609720,218712,45463,151260,420150,90530,375138,296414,133943,416108,371996,408442
neg10788,69442,0,64120,6586,11054,461228,95026,10311,139507,5483,37768,13736,0,261739,18672,20043,21828,115010,41025,35872,11432,13706,172666,15527,43941,513074,173993,12618,18222,13597
neg1079,3896965,1706647,5211926,16969576,24378393,704904,3735727,1637262,32999840,14331667,5941479,1416397,4520389,6684444,5019898,5989527,479472,3147927,3701133,905942,2011521,2716395,1763544,1653185,2276659,1412094,465086,1526636,2388759,3345496
