Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg2739,0,24768,152774,1130372,858260,13200,228460,4410283,4580746,116595,36661,1601112,130956,76457,0,0,0,0,0,0,0,24725,0,0,0,0,0,0,0,0
neg2740,6345,19103,29375,78943,267821,78044,643742,1679794,65258326,39259,47131,90899,669431,120436,188576,1344047,70035,64688,138358,127027,199160,200896,345558,172642,347645,112096,86193,260233,171104,160806
neg2742,0,68417,0,0,0,0,0,0,0,0,6251488,14031244,5356,0,0,0,0,0,0,0,0,0,0,3460,0,0,0,5514,0,0
neg2743,0,0,0,0,5975,0,0,0,10128704,0,5983,9604,303728,2659,1622,0,5049,9854,127768,3604,4906,44012,14115,0,8785,3791,5854,11007,7344,15234
neg2744,0,0,0,0,0,0,0,0,3481151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,0
neg2747,59389,0,14528,11196,261176,28188,574348,0,89073326,32947,16549,62065,105585,9082,135332,1475358,2140394,108644,20842,1275422,18456599,509304,76505,43769,42109,31321,1379052,57662,23319,257535
neg275,15388335,8811856,6502600,5014423,29563102,14249256,3377477,14780861,356291875,1881735,3073944,5766565,4950698,59858218,1237026,3968750,942315,416808,220797,391608,441904,1125891,1487765,243744,547102,270500,575535,164270,367627,716976
neg2761,0,0,0,0,5757,0,0,0,1074229,0,0,0,42581,0,0,15501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg2762,9230,74143,497815,730882,352122,64736,312466,211723,109085,467468,15648383,28152592,7838,622443,872736,783119,60635,1010776,5741500,1007192,3013541,8993859,1290819,364930,276549,273671,391068,1225037,1687960,548247
neg2766,0,7964,0,7481,20482,0,13872,18084,56035371,10485,0,19410,78773,0,46365,40185,23723,19887,22715,9010,29290,61421,26047,34269,25420,10962,19350,15810,19618,24964
neg2768,0,0,29439546,37237103,74750327,79623777,15707265,8084351,25939076,41738675,13735928,2208519,180343,47803336,24152675,44365914,14609177,13806955,18344536,8605307,2777021,7305584,13769463,4980428,21159051,7968311,5078995,16595169,16811947,26448722
neg2769,0,0,10541,0,143139,0,0,0,134124760,0,0,0,5376,0,0,18464,6143,0,5253,8957,0,41382,9134,0,0,0,0,0,0,0
neg2771,1270305,2077587,1606120,789514,416678,630594,2188535,918070,1278542,1019209,1151142,663130,2271997,5509905,755595,1028990,872192,274849,207565,1040041,397101,767479,773856,409621,780206,564921,866530,644717,419558,1028123
neg2772,3157,4107,4404,3554,4422,7758,4011,0,53770,3101,50938,46421,3763,2870,7539,10493,8599,5953,9052,4820,14967,50093,12108,35496,10980,1961,9690,8374,28207,7538
neg2773,0,0,0,0,0,0,0,0,9302312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39851,32596,23057,34016,17490,0
neg2774,55718,29108,0,0,58014,0,48574,0,0,0,4612073,9730688,55019,47430,365273,59895,11229,309953,1814337,2867637,416997,219208,244607,84129,157271,547788,40490,216287,299813,703377
neg2775,0,0,3137,0,116063,0,0,0,63749050,2088,3297,7372,358169,33180,35923,0,25332,7126,60606,190837,205136,656459,74603,27942,101601,16213,98075,40741,35058,358943
neg2776,0,0,0,10895,0,0,0,196098,37243766,2898,0,0,0,0,2252,4060,0,5180,11651,3002,1776,0,0,4998,5232,0,1512,0,4290,8095
neg2779,13503,17889,1207160,3135249,3157865,115757,340848,1142477,3484988,2502753,2911385,7106844,49951,50697,517661,341264,48311,154648,649319,150083,816107,195719,352300,47160,1197053,355488,513144,773369,797070,174500
neg2784,0,0,6692,0,0,0,0,6989,801690,0,12254,21010,0,0,0,35705,1997,0,0,0,0,37471,0,0,0,0,0,0,0,0
neg2785,0,4637,0,0,0,0,0,0,11403312,0,0,0,12157,0,87754,664260,0,0,102619,23451,47008,19871,0,15091,440611,41549,63336,963244,667615,0
neg2788,43339748,8073246,3353502,5306410,10063774,3636192,1092125,5542979,40108790,2237689,2629998,3272869,12099904,2564506,11828698,16640492,1244304,10674771,12270833,9282420,17686979,11706258,4918396,1183385,3358905,2053335,4318119,2442076,3997848,3230453
neg2789,6562,8360,0,0,0,5448,21049,0,8218471,14819,5052,18893,13902,7990,1346692,161570,48582,197179,1829225,1383370,1130156,224600,2247636,304149,8827757,1580446,1788128,15060863,9032044,135834
neg2790,4251,23974,172942,70666,277332,269694,383738,66152,33313713,124816,24221,18557,49223,151805,2024840,7545686,498006,616302,693834,389748,855848,2417442,3186087,2116409,6010791,2280257,2407868,7889035,5322622,921787
neg2791,0,0,0,0,0,0,0,0,163198,0,0,10026,0,0,3537,0,0,0,0,0,0,0,0,0,7068,0,0,0,0,0
