Culture,Fungus,Lichen
neg11346,neg1139,neg1125
neg1135,neg1140,neg11252
neg1137,neg11401,neg11254
neg11370,neg11407,neg1126
neg1138,neg11417,neg11265
neg1139,neg1142,neg1127
neg1140,neg11428,neg11275
neg11401,neg1145,neg1128
neg11402,neg1146,neg11289
neg11407,neg11480,neg1129
neg11417,neg11493,neg11302
neg1142,neg1150,neg11305
neg11428,neg11508,neg1131
neg1145,neg1151,neg1133
neg1146,neg11510,neg1134
neg11480,neg11519,neg11341
neg11493,neg11532,neg11344
neg1150,neg11544,neg11346
neg11508,neg1157,neg1135
neg1151,neg11605,neg1137
neg11510,neg1161,neg11370
neg11519,neg11617,neg1138
neg11532,neg11619,neg1139
neg11544,neg1162,neg1140
neg1157,neg11621,neg11401
neg11584,neg11622,neg11402
neg11605,neg11629,neg11407
neg1161,neg1163,neg11417
neg11617,neg11633,neg1142
neg11619,neg11639,neg11428
neg1162,neg11645,neg1145
neg11621,neg11648,neg1146
neg11622,neg1165,neg11480
neg11629,neg11650,neg11493
neg1163,neg11651,neg1150
neg11633,neg11654,neg11508
neg11639,neg11672,neg1151
neg11645,neg1168,neg11510
neg11648,neg11689,neg11519
neg1165,neg1169,neg11532
neg11650,neg11692,neg11544
neg11651,neg11709,neg1157
neg11654,neg1171,neg11584
neg11672,neg11714,neg11605
neg1168,neg11716,neg1161
neg11689,neg11729,neg11617
neg1169,neg1173,neg11619
neg11692,neg11737,neg1162
neg11709,neg1175,neg11621
neg1171,neg11755,neg11622
neg11714,neg11764,neg11625
neg11716,neg1178,neg11629
neg11729,neg1179,neg1163
neg1173,neg1182,neg11633
neg11737,neg11822,neg11639
neg1175,neg11828,neg11645
neg11755,neg11829,neg11648
neg11764,neg11845,neg1165
neg1178,neg1185,neg11650
neg1179,neg11861,neg11651
neg1182,neg11866,neg11654
neg11822,neg1187,neg11672
neg11829,neg1188,neg1168
neg11845,neg1189,neg11689
neg1185,neg1190,neg1169
neg11861,neg1191,neg11692
neg11866,neg1192,neg11709
neg1187,neg11925,neg1171
neg1188,neg11927,neg11714
neg1189,neg1193,neg11716
neg1190,neg11935,neg11718
neg1191,neg1194,neg11729
neg1192,neg11941,neg1173
neg11925,neg11946,neg11737
neg11927,neg1195,neg1175
neg1193,neg11956,neg11755
neg11935,neg11957,neg11764
neg1194,neg1196,neg1178
neg11941,neg11965,neg1179
neg11946,neg11969,neg1182
neg1195,neg11974,neg11822
neg11956,neg11992,neg11828
neg11957,neg120,neg11829
neg1196,neg12003,neg11845
neg11965,neg12006,neg1185
neg11969,neg12016,neg11861
neg11974,neg12020,neg11866
neg11992,neg12039,neg1187
neg120,neg1204,neg1188
neg12003,neg12048,neg1189
neg12006,neg12050,neg1190
neg12016,neg12054,neg1191
neg12020,neg1206,neg1192
neg12039,neg12080,neg11925
neg1204,neg12083,neg11927
neg12048,neg12088,neg1193
neg12050,neg12092,neg11935
neg12054,neg12094,neg1194
neg1206,neg1210,neg11941
neg12080,neg12134,neg11946
neg12083,neg12142,neg1195
neg12088,neg1215,neg11956
neg12092,neg1216,neg11957
neg12094,neg12175,neg1196
neg1210,neg1218,neg11965
neg12134,neg12181,neg11969
neg12142,neg12192,neg11974
neg1215,neg12210,neg11992
neg1216,neg12214,neg120
neg12175,neg12221,neg12003
neg1218,neg12234,neg12006
neg12181,neg1225,neg12016
neg12192,neg12251,neg12020
neg12210,neg1226,neg12039
neg12214,neg12268,neg1204
neg12221,neg1231,neg12048
neg12233,neg12316,neg12050
neg12234,neg12326,neg12054
neg1225,neg12371,neg1206
neg12251,neg12377,neg12080
neg1226,neg12379,neg12083
neg12268,neg12384,neg12088
neg1231,neg1239,neg12092
neg12316,neg12427,neg12094
neg12326,neg12441,neg1210
neg12371,neg1248,neg12134
neg12377,neg12484,neg12142
neg12379,neg12506,neg1215
neg12384,neg12520,neg1216
neg1239,neg12521,neg12175
neg12427,neg12535,neg1218
neg12441,neg1255,neg12181
neg1248,neg12615,neg12192
neg12484,neg1262,neg12210
neg12506,neg12627,neg12214
neg12520,neg1263,neg12221
neg12521,neg12631,neg12233
neg12535,neg1265,neg12234
neg1255,neg12653,neg1225
neg12615,neg1266,neg12251
neg1262,neg1268,neg1226
neg12627,neg12685,neg12268
neg1263,neg1270,neg1231
neg12631,neg12701,neg12316
neg1265,neg1272,neg12326
neg12653,neg12725,neg12371
neg1266,neg12741,neg12377
neg1268,neg12746,neg12379
neg12685,neg12753,neg12384
neg1270,neg12763,neg1239
neg12701,neg12765,neg12427
neg1272,neg12767,neg12441
neg12725,neg12773,neg1248
neg12741,neg12778,neg12484
neg12746,neg12785,neg12506
neg12753,neg12786,neg12520
neg12763,neg12791,neg12521
neg12765,neg12799,neg12535
neg12767,neg12805,neg1255
neg12773,neg12814,neg12615
neg12778,neg12827,neg1262
neg12785,neg1283,neg12627
neg12786,neg12837,neg1263
neg12791,neg12847,neg12631
neg12799,neg12852,neg1265
neg12805,neg12853,neg12653
neg12814,neg12865,neg1266
neg12827,neg12870,neg1268
neg1283,neg12876,neg12685
neg12837,neg12878,neg1270
neg12841,neg12883,neg12701
neg12847,neg12884,neg1272
neg12852,neg12886,neg12725
neg12853,neg12889,neg12741
neg12865,neg12892,neg12746
neg12870,neg12906,neg12753
neg12876,neg1291,neg12763
neg12878,neg12915,neg12765
neg12883,neg12921,neg12767
neg12884,neg1293,neg12773
neg12886,neg12931,neg12778
neg12889,neg12933,neg12785
neg12892,neg12941,neg12786
neg12906,neg12959,neg12791
neg1291,neg12985,neg12799
neg12915,neg12986,neg12805
neg12921,neg12989,neg12814
neg1293,neg12993,neg12827
neg12931,neg12999,neg1283
neg12933,neg1300,neg12837
neg12941,neg13005,neg12841
neg12959,neg1301,neg12847
neg12984,neg13016,neg12852
neg12985,neg1302,neg12853
neg12986,neg1303,neg12865
neg12989,neg13034,neg12870
neg12993,neg1304,neg12876
neg12996,neg13049,neg12878
neg12998,neg13051,neg12883
neg12999,neg13076,neg12884
neg1300,neg13083,neg12886
neg13005,neg13104,neg12889
neg13009,neg1313,neg12892
neg1301,neg13133,neg12906
neg13010,neg13135,neg1291
neg13016,neg1314,neg12915
neg1302,neg13177,neg12921
neg1303,neg1318,neg1293
neg13034,neg13201,neg12931
neg1304,neg13216,neg12933
neg13049,neg1322,neg12941
neg13051,neg13221,neg12959
neg13076,neg13224,neg12984
neg13083,neg1324,neg12985
neg13104,neg13242,neg12986
neg1313,neg13243,neg12989
neg13133,neg13249,neg12993
neg13135,neg13265,neg12996
neg1314,neg1327,neg12998
neg13177,neg13274,neg12999
neg1318,neg1328,neg1300
neg13201,neg13286,neg13005
neg13216,neg13288,neg13009
neg1322,neg13290,neg1301
neg13221,neg13291,neg13010
neg13224,neg13296,neg13016
neg1324,neg13297,neg1302
neg13242,neg13298,neg1303
neg13243,neg13301,neg13034
neg13249,neg13302,neg1304
neg13251,neg13312,neg13049
neg13265,neg13315,neg13051
neg1327,neg13326,neg13076
neg13274,neg13330,neg13083
neg1328,neg13331,neg13104
neg13281,neg13334,neg1313
neg13284,neg13337,neg13133
neg13286,neg13338,neg13135
neg13288,neg13343,neg1314
neg13290,neg13349,neg13177
neg13291,neg1335,neg1318
neg13294,neg13353,neg13201
neg13296,neg13355,neg13216
neg13297,neg13356,neg1322
neg13298,neg1336,neg13221
neg13299,neg13361,neg13224
neg13301,neg13365,neg1324
neg13302,neg13368,neg13242
neg13304,neg13372,neg13243
neg13305,neg13374,neg13249
neg13312,neg13375,neg13251
neg13314,neg1338,neg13265
neg13315,neg13386,neg1327
neg13318,neg13397,neg13274
neg13321,neg13401,neg1328
neg13322,neg13421,neg13281
neg13325,neg13435,neg13284
neg13326,neg13443,neg13286
neg13328,neg13457,neg13288
neg13330,neg1346,neg13290
neg13331,neg13460,neg13291
neg13334,neg13463,neg13294
neg13336,neg1347,neg13296
neg13337,neg13477,neg13297
neg13338,neg13478,neg13298
neg13342,neg13492,neg13301
neg13343,neg1350,neg13302
neg13349,neg13509,neg13304
neg1335,neg1351,neg13305
neg13351,neg13560,neg13314
neg13352,neg1357,neg13315
neg13353,neg1358,neg13322
neg13354,neg13585,neg13325
neg13355,neg13588,neg13326
neg13356,neg13608,neg13328
neg1336,neg1361,neg13330
neg13361,neg13614,neg13331
neg13364,neg13618,neg13334
neg13365,neg1362,neg13336
neg13366,neg13634,neg13337
neg13368,neg1364,neg13338
neg13371,neg13651,neg13342
neg13372,neg1366,neg13343
neg13374,neg13665,neg13349
neg13375,neg1370,neg1335
neg1338,neg13722,neg13351
neg13382,neg13725,neg13352
neg13383,neg13729,neg13353
neg13386,neg13730,neg13354
neg13389,neg13739,neg13355
neg13390,neg13756,neg13356
neg13397,neg1377,neg1336
neg13401,neg1380,neg13361
neg13404,neg13842,neg13364
neg13407,neg1385,neg13365
neg13412,neg1386,neg13368
neg13419,neg13861,neg13371
neg13421,neg13885,neg13372
neg13435,neg13886,neg13374
neg13439,neg1389,neg13375
neg13443,neg13916,neg1338
neg13457,neg13934,neg13382
neg1346,neg13943,neg13383
neg13460,neg13944,neg13386
neg13461,neg1396,neg13390
neg13463,neg13970,neg13397
neg1347,neg1398,neg13401
neg13474,neg1399,neg13404
neg13477,neg1400,neg13419
neg13478,neg14004,neg13421
neg13492,neg1401,neg13435
neg1350,neg14051,neg13439
neg13509,neg14067,neg13443
neg1351,neg1407,neg13457
neg13516,neg1409,neg1346
neg13560,neg1411,neg13460
neg1357,neg1413,neg13461
neg1358,neg14136,neg13463
neg13585,neg14160,neg1347
neg13588,neg14175,neg13474
neg13608,neg14177,neg13477
neg1361,neg14179,neg13478
neg13614,neg14185,neg13492
neg13618,neg14196,neg1350
neg1362,neg14202,neg13509
neg13634,neg14210,neg1351
neg1364,neg14228,neg13516
neg13651,neg14241,neg13560
neg1366,neg14243,neg1357
neg13665,neg1426,neg1358
neg1369,neg1427,neg13585
neg1370,neg1430,neg13588
neg13722,neg14300,neg13608
neg13725,neg14306,neg1361
neg13729,neg14312,neg13614
neg13730,neg14333,neg13618
neg13739,neg14338,neg1362
neg13756,neg1435,neg13634
neg1377,neg1436,neg1364
neg1378,neg14366,neg13651
neg1380,neg1437,neg1366
neg13810,neg14376,neg13665
neg13842,neg14377,neg1369
neg1385,neg1438,neg1370
neg1386,neg1439,neg13722
neg13861,neg1441,neg13725
neg13885,neg14435,neg13729
neg13886,neg14442,neg13730
neg13888,neg14443,neg13739
neg1389,neg14459,neg13756
neg13916,neg1446,neg1377
neg13934,neg1447,neg1378
neg13943,neg1448,neg1380
neg13944,neg14480,neg13810
neg1396,neg14495,neg13842
neg13970,neg1454,neg1385
neg1398,neg14553,neg1386
neg1399,neg14579,neg13861
neg13999,neg1458,neg13885
neg1400,neg14581,neg13886
neg14004,neg14582,neg13888
neg1401,neg14614,neg1389
neg14051,neg14615,neg13916
neg14067,neg14637,neg13934
neg1407,neg1464,neg13943
neg1409,neg14658,neg13944
neg1411,neg14663,neg1396
neg1413,neg1467,neg13970
neg14136,neg1468,neg1398
neg14160,neg14692,neg1399
neg14175,neg14698,neg13999
neg14177,neg14733,neg1400
neg14179,neg14734,neg14004
neg14185,neg14738,neg1401
neg14196,neg1475,neg14051
neg14197,neg1477,neg14067
neg14198,neg14775,neg1407
neg14202,neg14780,neg1409
neg14210,neg14782,neg1411
neg14212,neg14794,neg1413
neg14214,neg14797,neg14136
neg14228,neg1480,neg14160
neg14241,neg14801,neg14175
neg14243,neg14807,neg14177
neg1426,neg14809,neg14179
neg1427,neg14810,neg14185
neg1430,neg14817,neg14196
neg14300,neg14844,neg14197
neg14306,neg14848,neg14198
neg14312,neg14861,neg14202
neg14333,neg14873,neg14210
neg14338,neg1489,neg14212
neg1435,neg14899,neg14214
neg14355,neg1490,neg14228
neg1436,neg14909,neg14241
neg14366,neg14913,neg14243
neg1437,neg14949,neg1426
neg14376,neg14952,neg1427
neg14377,neg1498,neg1430
neg1438,neg1499,neg14300
neg1439,neg14995,neg14306
neg1441,neg1501,neg14312
neg14435,neg15011,neg14333
neg14442,neg1503,neg14338
neg14443,neg15052,neg1435
neg14459,neg15055,neg14355
neg1446,neg15058,neg1436
neg1447,neg1506,neg14366
neg1448,neg15060,neg1437
neg14480,neg15061,neg14376
neg14494,neg15063,neg14377
neg14495,neg15076,neg1438
neg1450,neg1508,neg1439
neg1454,neg15088,neg1441
neg14553,neg1509,neg14435
neg14579,neg15092,neg14442
neg1458,neg15109,neg14443
neg14581,neg15162,neg14459
neg14582,neg15183,neg1446
neg14614,neg1519,neg1447
neg14615,neg15197,neg1448
neg14636,neg15206,neg14480
neg14637,neg15211,neg14494
neg1464,neg15235,neg14495
neg14658,neg15238,neg1450
neg14663,neg1524,neg1454
neg1467,neg15244,neg14553
neg1468,neg15259,neg14579
neg14692,neg1526,neg1458
neg14698,neg15261,neg14581
neg14733,neg15263,neg14582
neg14734,neg15266,neg14614
neg14738,neg15277,neg14615
neg1475,neg15280,neg14636
neg1477,neg15293,neg14637
neg14775,neg15317,neg1464
