Compound,Atranorin,Baeomycesic acid,Barbatic acid,Caftaric acid,Cantharidin,Chloroatranorin,Colensoic acid,Ethanone,Evernic acid,Gyrophoric acid,Isousnic acid,Lecanoric acid,Lobaric acid,Obtusatic acid,Ovoic acid,Perlatolic acid,Physodalic acid,Physodic acid,Proatranorin III,Protocetraric acid,Psoromic acid,Pulvinic acid,Pulvinic acid dilactone,Pyridoxic acid,Squamatic acid,Thamnolic acid,Umbilicaric acid,Usnic acid,Vulpinic acid
C. brachypoda,31191862,14122,323890,16695,390155,916688,1177260,14719,289297,316290,119551,348552,1311215,620081,0,2989924,21448,1667354,855128,182207,0,282292876,326460752,178092,238603,0,0,643223,1503019
C. furfuracea,1701060469,20492290,2263723827,517758,21348388,19455146,10451715,354262,132283254,4079155,4500470,11647402,427415710,10231538,0,7832772,131746,6042978,9632102,4206275,22335,221789465,15560404194,2268316,677983,16559471,12285,23541005,44764312
C. stemonea,54065036,1841856,34629428,326203,3301622,11212472,2583402,464635,150207508,9922271,334660,18725355,1621040,3194111037,101424,1322844,0,1173548,3137322,1987043,0,1036693,25026897,185000,18074153,1329549,75835828,779911,770323
C. trichialis,658154808,310540,8959978,12464371,55545904,94915429,6454922,2390793,111035731,6737841,27535490,17874267,167572872,455190913,4830694,33332405,579107,16755446,9971674,6343735,6018510,35309786,45983939,6276099,3023965,1186526,1855492,60591060,4978
M. subtile,241469643,88399,307899,262447,1756289,23717386,835355,276723,7427159,1733668,936200,6620173,67178420,14012837,0,10408399,4452497,26559172,3680822,4364984,248280,4878151,51704246,286650,877428,409895,31066,2612573,1872
Fomitopsis sp.,3411337,395910,595197,0,32665408,224667,549141,360206,89950,0,0,902820,2329243,1098107,0,74041,0,10943969,14377,243445,0,393077386,2690484,58504,0,0,0,16501,0
Penicillium sp.,40423114,540279,2200820,0,15504592,612595,11762152,69293016,989772,250025,1355391,12049150,8467766,38085870,0,27278596,0,982985,191802,8614084,157838,3325496067,21002242,14092146,19445,249088,141780,5305175,0
