OTU,Phylum,Order
ASV2865,Proteobacteria,Acetobacterales
ASV2866,Actinobacteriota,Solirubrobacterales
ASV2867,Acidobacteriota,Acidobacteriales
ASV2868,Acidobacteriota,Acidobacteriales
ASV2869,Actinobacteriota,Others
ASV2870,Proteobacteria,Acetobacterales
ASV2873,Acidobacteriota,Acidobacteriales
ASV2874,Acidobacteriota,Others
ASV2875,Acidobacteriota,Acidobacteriales
ASV2876,Proteobacteria,Acetobacterales
ASV2878,Firmicutes,Bacillales
ASV2879,Actinobacteriota,Corynebacteriales
ASV2880,Actinobacteriota,Corynebacteriales
ASV2888,Others,Bacteroidota
ASV2890,Proteobacteria,Others
ASV2892,Proteobacteria,Caulobacterales
ASV2894,Proteobacteria,Acetobacterales
ASV2895,Acidobacteriota,Acidobacteriales
ASV2896,Proteobacteria,Acetobacterales
ASV2899,Others,Cyanobacteria
ASV2900,Proteobacteria,Caulobacterales
ASV2901,Actinobacteriota,Others
ASV2902,Actinobacteriota,Others
ASV2903,Acidobacteriota,Acidobacteriales
ASV2906,Proteobacteria,Others
ASV2907,Proteobacteria,Acetobacterales
ASV2908,Acidobacteriota,Acidobacteriales
ASV2909,Proteobacteria,Acetobacterales
ASV2912,Proteobacteria,Others
ASV2913,Proteobacteria,Acetobacterales
ASV2914,Acidobacteriota,Acidobacteriales
ASV2915,Actinobacteriota,Micrococcales
ASV2916,Proteobacteria,Acetobacterales
ASV2919,Proteobacteria,Pseudomonadales
ASV2920,Proteobacteria,Others
ASV2921,Proteobacteria,Others
ASV2922,Proteobacteria,Others
ASV2924,Proteobacteria,Acetobacterales
ASV2925,Acidobacteriota,Others
ASV2927,Proteobacteria,Sphingomonadales
ASV2928,Acidobacteriota,Acidobacteriales
ASV2930,Actinobacteriota,Micrococcales
ASV2931,Actinobacteriota,Others
ASV2932,Actinobacteriota,Others
ASV2933,Actinobacteriota,Solirubrobacterales
ASV2934,Actinobacteriota,Others
ASV2935,Actinobacteriota,Others
ASV2936,Actinobacteriota,Solirubrobacterales
ASV2937,Actinobacteriota,Others
ASV2938,Actinobacteriota,Solirubrobacterales
ASV2939,Proteobacteria,Sphingomonadales
ASV2940,Acidobacteriota,Acidobacteriales
ASV2941,Actinobacteriota,Others
ASV2942,Actinobacteriota,Micrococcales
ASV2944,Others,Bacteroidota
ASV2945,Acidobacteriota,Acidobacteriales
ASV2946,Proteobacteria,Acetobacterales
ASV2947,Actinobacteriota,Frankiales
ASV2948,Others,Others
ASV2949,Actinobacteriota,Solirubrobacterales
ASV2950,Proteobacteria,Caulobacterales
ASV2952,Proteobacteria,Acetobacterales
ASV2953,Proteobacteria,Acetobacterales
ASV2954,Proteobacteria,Acetobacterales
ASV2955,Actinobacteriota,Others
ASV2957,Acidobacteriota,Bryobacterales
ASV2958,Firmicutes,Bacillales
ASV2959,Proteobacteria,Others
ASV2960,Firmicutes,Bacillales
ASV2961,Firmicutes,Bacillales
ASV2965,Proteobacteria,Rhizobiales
ASV2966,Actinobacteriota,Solirubrobacterales
ASV2967,Acidobacteriota,Others
ASV2968,Actinobacteriota,Others
ASV2969,Proteobacteria,Others
ASV2970,Acidobacteriota,Acidobacteriales
ASV2972,Proteobacteria,Others
ASV2973,Actinobacteriota,Frankiales
ASV2976,Acidobacteriota,Acidobacteriales
ASV2977,Planctomycetota,Tepidisphaerales
ASV2978,Proteobacteria,Caulobacterales
ASV2979,Planctomycetota,Tepidisphaerales
ASV2980,Acidobacteriota,Acidobacteriales
ASV2985,Proteobacteria,Rhizobiales
ASV2987,Proteobacteria,Rhizobiales
ASV2988,Actinobacteriota,Micrococcales
ASV2989,Proteobacteria,Others
ASV2993,Proteobacteria,Acetobacterales
ASV2995,Proteobacteria,Rhizobiales
ASV2996,Others,Others
ASV2997,Acidobacteriota,Acidobacteriales
ASV2998,Others,Cyanobacteria
ASV3000,Proteobacteria,Others
ASV3001,Proteobacteria,Acetobacterales
ASV3002,Acidobacteriota,Acidobacteriales
ASV3003,Proteobacteria,Acetobacterales
ASV3004,Actinobacteriota,Others
ASV3005,Acidobacteriota,Acidobacteriales
ASV3007,Actinobacteriota,Others
ASV3008,Actinobacteriota,Others
ASV3009,Actinobacteriota,Others
ASV3010,Actinobacteriota,Others
ASV3011,Actinobacteriota,Others
ASV3012,Actinobacteriota,Others
ASV3013,Actinobacteriota,Solirubrobacterales
ASV3014,Acidobacteriota,Bryobacterales
ASV3017,Actinobacteriota,Solirubrobacterales
ASV3018,Actinobacteriota,Solirubrobacterales
ASV3019,Actinobacteriota,Others
ASV3020,Actinobacteriota,Pseudonocardiales
ASV3021,Actinobacteriota,Micrococcales
ASV3022,Actinobacteriota,Others
ASV3023,Others,Bacteroidota
ASV3024,Actinobacteriota,Others
ASV3025,Proteobacteria,Others
ASV3026,Actinobacteriota,Micrococcales
ASV3028,Acidobacteriota,Acidobacteriales
ASV3029,Proteobacteria,Acetobacterales
ASV3030,Proteobacteria,Acetobacterales
ASV3032,Actinobacteriota,IMCC26256
ASV3033,Proteobacteria,Others
ASV3034,Actinobacteriota,IMCC26256
ASV3035,Others,Bacteroidota
ASV3037,Actinobacteriota,Frankiales
ASV3038,Proteobacteria,Sphingomonadales
ASV3039,Planctomycetota,Isosphaerales
ASV3040,Proteobacteria,Rhizobiales
ASV3041,Firmicutes,Bacillales
ASV3043,Proteobacteria,Acetobacterales
ASV3044,Actinobacteriota,Others
ASV3045,Firmicutes,Bacillales
ASV3052,Proteobacteria,Pseudomonadales
ASV3054,Acidobacteriota,Acidobacteriales
ASV3057,Acidobacteriota,Acidobacteriales
ASV3061,Others,Others
ASV3062,Actinobacteriota,Solirubrobacterales
ASV3063,Actinobacteriota,Others
ASV3064,Acidobacteriota,Acidobacteriales
ASV3065,Proteobacteria,Acetobacterales
ASV3066,Actinobacteriota,Frankiales
ASV3067,Planctomycetota,Tepidisphaerales
ASV3068,Firmicutes,Bacillales
ASV3069,Planctomycetota,Isosphaerales
ASV3070,Proteobacteria,Acetobacterales
ASV3071,Proteobacteria,Others
ASV3072,Actinobacteriota,Others
ASV3076,Actinobacteriota,Others
ASV3077,Actinobacteriota,Solirubrobacterales
ASV3078,Actinobacteriota,Solirubrobacterales
ASV3079,Actinobacteriota,Others
ASV3080,Actinobacteriota,Others
ASV3081,Actinobacteriota,Others
ASV3082,Actinobacteriota,Others
ASV3083,Actinobacteriota,Micrococcales
ASV3085,Actinobacteriota,Others
ASV3088,Actinobacteriota,Solirubrobacterales
ASV3089,Actinobacteriota,Others
ASV3090,Actinobacteriota,Solirubrobacterales
ASV3091,Actinobacteriota,Solirubrobacterales
ASV3092,Actinobacteriota,Others
ASV3093,Others,Bacteroidota
ASV3094,Actinobacteriota,Others
ASV3095,Actinobacteriota,Corynebacteriales
ASV3097,Actinobacteriota,Corynebacteriales
ASV3098,Actinobacteriota,Solirubrobacterales
ASV3099,Acidobacteriota,Acidobacteriales
ASV3100,Actinobacteriota,Others
ASV3101,Planctomycetota,Isosphaerales
ASV3102,Proteobacteria,Caulobacterales
ASV3103,Others,Others
