"","C-FOMI-AGAR-POT-63-16S","C-FOMI-AGAR-POT-64-16S","C-PENI-AGAR-OAT-65-16S","C-PENI-AGAR-OAT-66-16S","C-PENI-AGAR-POT-56-16S","C-PENI-AGAR-POT-57-16S","C-PENI-AGAR-POT-62-16S","C-UNKN-AGAR-OAT-50-16S","C-UNKN-AGAR-OAT-52-16S","C-UNKN-AGAR-OAT-59-16S","C-UNKN-AGAR-OAT-60-16S","C-UNKN-AGAR-OAT-61-16S","C-UNKN-AGAR-POT-55-16S","C-UNKN-AGAR-POT-67-16S","F-MSUB-WOOD-EPB-20-16S","F-MSUB-WOOD-EPB-22-16S","F-MSUB-WOOD-SAB-28-16S","L-CBRA-BARK-BOJ-02-16S","L-CFUR-BARK-BOJ-01-16S","L-CFUR-BARK-BOJ-11-16S","L-CFUR-BARK-BOJ-12-16S","L-CFUR-WOOD-BOJ-15-16S","L-CSTE-BARK-UKN-42-16S","L-CSTE-WOOD-EPB-39-16S","L-CTRI-BARK-BOJ-06-16S","L-CTRI-BARK-BOJ-08-16S","L-CTRI-BARK-BOJ-21-16S","L-CTRI-BARK-BOJ-36-16S","L-CTRI-BARK-BOJ-46-16S","L-CTRI-WOOD-BOJ-26-16S"
"ASV88",4.30659920568853,6.99075729769402,5.72351483689458,0,4.73139347292034,4.60505539129272,3.40753382560632,5.51960720636199,5.65495258729187,4.12800062864158,3.92461300970249,5.78157036061373,4.90677451143736,6.32360781824669,0,5.55390200947369,3.92461300970249,0,0,0,0,0,0,0,0,0,0,6.21316840394437,0,0
"ASV89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00717900733286,6.71518972961947,3.69035789326146,0,5.20372900633375,0,0,3.69131941685597,0,0,0,0,0
"ASV90",0,0,0,0,0,0,2.30176047618774,0,0,0,0,0,0,0,0,0,0,8.86626679541607,7.20129147453352,3.92461300970249,0,4.79383608702331,0,0,3.81320066565672,0,0,0,0,0
"ASV91",4.22092765425545,5.59602559020341,5.59329936581174,0,5.20178695471371,3.81507091403104,3.68734844491572,5.24470949319974,5.92151468248328,4.12800062864158,4.21715969204709,6.05279649146554,4.90677451143736,6.55083118602458,0,5.83801599418467,4.66823649463597,0,0,0,0,0,0,0,0,0,0,6.0497113898736,0,0
"ASV92",0,0,0,0,0,0,4.29978489623515,0,0,0,0,0,0,4.21813031247312,0,0,0,0,8.80583242107447,5.55593146408628,5.92549831935159,0,0,0,0,2.60398111002659,0,2.60107412473747,0,5.15341377840159
"ASV94",0,0,0,0,0,0,3.80921976869313,0,0,0,0,0,0,0,0,0,0,0,8.74592198169771,4.73139347292034,5.72256967030509,0,0,0,5.65796700388645,3.0629611624422,0,3.06000183547625,0,5.19871667877188
"ASV97",0,0,0,0,4.53296798524737,0,3.55421827542867,4.21616865041216,4.02686492754735,0,0,0,0,0,6.51820511941498,3.24523009306808,0,0,2.8516751299437,0,0,0,0,6.68458965724926,3.06390669300359,8.13072638580342,2.60671215218126,4.21412173319146,0,3.68734844491572
"ASV101",0,0,0,0,0,0,3.24421653788547,0,0,0,0,0,0,0,0,0,0,8.76782539181413,6.38286897322187,3.92461300970249,0,4.03077827688146,0,0,3.55817743476339,0,0,0,0,0
"ASV102",0,0,0,0,0,0,3.24421653788547,0,0,0,0,0,0,0,0,0,0,8.67430048134251,6.23816525004601,4.38368958166871,0,4.90773327326418,0,0,2.30553878786259,0,0,0,0,0
"ASV103",0,0,0,0,5.40914403727211,0,3.80921976869313,4.02787425360618,3.92261923547629,0,0,0,0,0,0,1.92425217820816,0,0,2.30462387086484,0,0,0,0,6.32360781824669,4.21813031247312,8.21046961010569,3.69318501154661,4.66518103555497,0,3.68734844491572
