OTU,Phylum,Order
ASV443,Verrucomicrobiota,Chthoniobacterales
ASV444,Acidobacteriota,Acidobacteriales
ASV445,Actinobacteriota,Corynebacteriales
ASV446,Proteobacteria,Acetobacterales
ASV449,Verrucomicrobiota,Chthoniobacterales
ASV451,Proteobacteria,Acetobacterales
ASV454,Acidobacteriota,Acidobacteriales
ASV455,Proteobacteria,Sphingomodales
ASV456,Acidobacteriota,Acidobacteriales
ASV457,Acidobacteriota,Acidobacteriales
ASV458,Actinobacteriota,Others
ASV459,Actinobacteriota,Frankiales
ASV460,Actinobacteriota,Micrococcales
ASV461,Firmicutes,Others
ASV462,Firmicutes,Paenibacillales
ASV463,Verrucomicrobiota,Chthoniobacterales
ASV465,Firmicutes,Paenibacillales
ASV466,Actinobacteriota,Others
ASV468,Proteobacteria,Acetobacterales
ASV472,Actinobacteriota,Micrococcales
ASV473,Firmicutes,Paenibacillales
ASV475,Proteobacteria,Acetobacterales
ASV476,Proteobacteria,Others
ASV477,Actinobacteriota,Others
ASV478,Actinobacteriota,Micrococcales
ASV480,Actinobacteriota,Micrococcales
ASV482,Acidobacteriota,Acidobacteriales
ASV485,Proteobacteria,Acetobacterales
ASV487,Actinobacteriota,Others
ASV488,WPS-2,WPS-2
ASV489,Proteobacteria,Others
ASV490,Proteobacteria,Caulobacterales
ASV491,Actinobacteriota,Corynebacteriales
ASV493,Acidobacteriota,Acidobacteriales
ASV494,Acidobacteriota,Acidobacteriales
ASV496,Acidobacteriota,Others
ASV497,Planctomycetota,Others
ASV499,WPS-2,WPS-2
ASV500,Proteobacteria,Acetobacterales
ASV501,Proteobacteria,Acetobacterales
ASV502,Proteobacteria,Acetobacterales
ASV503,Verrucomicrobiota,Chthoniobacterales
ASV504,Actinobacteriota,Pseudonocardiales
ASV505,Acidobacteriota,Acidobacteriales
ASV506,Acidobacteriota,Acidobacteriales
ASV508,Acidobacteriota,Acidobacteriales
ASV509,Acidobacteriota,Acidobacteriales
ASV512,WPS-2,WPS-2
ASV513,Acidobacteriota,Acidobacteriales
ASV514,WPS-2,WPS-2
ASV517,Actinobacteriota,Frankiales
ASV519,WPS-2,WPS-2
ASV522,Firmicutes,Paenibacillales
ASV523,Firmicutes,Paenibacillales
ASV524,Actinobacteriota,IMCC26256
ASV525,Acidobacteriota,Acidobacteriales
ASV526,Firmicutes,Paenibacillales
ASV528,Verrucomicrobiota,Chthoniobacterales
ASV529,Actinobacteriota,Frankiales
ASV530,WPS-2,WPS-2
ASV531,Actinobacteriota,Others
ASV532,Firmicutes,Paenibacillales
ASV533,Actinobacteriota,IMCC26256
ASV534,Actinobacteriota,Others
ASV535,Acidobacteriota,Acidobacteriales
ASV536,Firmicutes,Others
ASV537,Proteobacteria,Acetobacterales
ASV538,Proteobacteria,Acetobacterales
ASV540,Verrucomicrobiota,Chthoniobacterales
ASV541,Firmicutes,Paenibacillales
ASV542,Proteobacteria,Acetobacterales
ASV544,WPS-2,WPS-2
ASV545,Planctomycetota,Isosphaerales
ASV546,Proteobacteria,Acetobacterales
ASV547,Proteobacteria,Acetobacterales
ASV548,Actinobacteriota,Others
ASV549,Actinobacteriota,Frankiales
ASV550,Actinobacteriota,Others
ASV551,Actinobacteriota,Frankiales
ASV554,WPS-2,WPS-2
ASV556,Proteobacteria,Acetobacterales
ASV557,WPS-2,WPS-2
ASV558,WPS-2,WPS-2
ASV559,Planctomycetota,Isosphaerales
ASV561,Proteobacteria,Acetobacterales
ASV562,WPS-2,WPS-2
ASV563,Actinobacteriota,Pseudonocardiales
ASV564,Actinobacteriota,Micrococcales
ASV565,Acidobacteriota,Acidobacteriales
ASV566,Actinobacteriota,Pseudonocardiales
ASV567,Actinobacteriota,Others
ASV568,Acidobacteriota,Acidobacteriales
ASV569,Acidobacteriota,Acidobacteriales
ASV570,Acidobacteriota,Acidobacteriales
ASV571,Proteobacteria,Acetobacterales
ASV572,Actinobacteriota,Micrococcales
ASV573,WPS-2,WPS-2
ASV574,Actinobacteriota,Frankiales
ASV575,Firmicutes,Paenibacillales
ASV576,Planctomycetota,Isosphaerales
ASV577,Firmicutes,Paenibacillales
ASV580,Actinobacteriota,Frankiales
ASV581,WPS-2,WPS-2
ASV582,Actinobacteriota,Corynebacteriales
ASV583,Acidobacteriota,Others
ASV584,Actinobacteriota,Micrococcales
ASV585,Actinobacteriota,Corynebacteriales
ASV586,Actinobacteriota,Frankiales
ASV588,Acidobacteriota,Acidobacteriales
ASV591,Actinobacteriota,Frankiales
ASV592,Actinobacteriota,Frankiales
ASV594,Firmicutes,Others
ASV595,Actinobacteriota,Frankiales
ASV596,Actinobacteriota,Pseudonocardiales
ASV597,Proteobacteria,Acetobacterales
ASV599,Proteobacteria,Acetobacterales
ASV600,Acidobacteriota,Acidobacteriales
ASV601,WPS-2,WPS-2
ASV602,Actinobacteriota,Others
ASV603,Actinobacteriota,Micrococcales
ASV604,Proteobacteria,Caulobacterales
ASV605,Actinobacteriota,Pseudonocardiales
ASV606,Actinobacteriota,Frankiales
ASV608,Actinobacteriota,Corynebacteriales
ASV610,Proteobacteria,Acetobacterales
ASV611,Verrucomicrobiota,Chthoniobacterales
ASV612,Acidobacteriota,Acidobacteriales
ASV613,Actinobacteriota,Micrococcales
ASV614,Planctomycetota,Isosphaerales
ASV616,Proteobacteria,Sphingomodales
ASV618,Firmicutes,Others
ASV619,Actinobacteriota,Pseudonocardiales
ASV622,Acidobacteriota,Acidobacteriales
ASV623,Acidobacteriota,Acidobacteriales
ASV624,Proteobacteria,Acetobacterales
ASV625,WPS-2,WPS-2
ASV627,Proteobacteria,Acetobacterales
ASV628,Acidobacteriota,Acidobacteriales
ASV630,Acidobacteriota,Acidobacteriales
ASV633,Acidobacteriota,Acidobacteriales
ASV634,Actinobacteriota,Pseudonocardiales
ASV635,Actinobacteriota,Micrococcales
ASV636,Proteobacteria,Acetobacterales
ASV638,Acidobacteriota,Acidobacteriales
ASV640,Proteobacteria,Acetobacterales
ASV642,Acidobacteriota,Acidobacteriales
ASV643,Proteobacteria,Acetobacterales
ASV645,Proteobacteria,Sphingomodales
ASV646,Actinobacteriota,Others
ASV649,Proteobacteria,Sphingomodales
ASV650,Actinobacteriota,Corynebacteriales
ASV651,Proteobacteria,Acetobacterales
ASV652,Proteobacteria,Acetobacterales
ASV653,Actinobacteriota,Others
ASV657,Proteobacteria,Acetobacterales
ASV660,WPS-2,WPS-2
ASV661,Proteobacteria,Acetobacterales
ASV662,Proteobacteria,Sphingomodales
ASV663,Acidobacteriota,Acidobacteriales
ASV665,Proteobacteria,Acetobacterales
ASV666,Firmicutes,Paenibacillales
ASV668,Verrucomicrobiota,Chthoniobacterales
ASV671,Actinobacteriota,Frankiales
ASV672,Firmicutes,Others
ASV673,Firmicutes,Paenibacillales
ASV676,Verrucomicrobiota,Chthoniobacterales
ASV677,Proteobacteria,Acetobacterales
ASV679,Proteobacteria,Others
ASV680,Proteobacteria,Caulobacterales
ASV681,WPS-2,WPS-2
ASV682,Firmicutes,Others
ASV688,WPS-2,WPS-2
ASV689,Proteobacteria,Acetobacterales
ASV690,Actinobacteriota,Frankiales
ASV691,Planctomycetota,Isosphaerales
ASV693,Proteobacteria,Acetobacterales
ASV694,Acidobacteriota,Acidobacteriales
ASV696,Actinobacteriota,Others
ASV697,Actinobacteriota,Corynebacteriales
ASV698,Others,Others
ASV702,Proteobacteria,Acetobacterales
ASV706,Proteobacteria,Others
ASV707,Actinobacteriota,Corynebacteriales
ASV708,Actinobacteriota,Frankiales
ASV709,Actinobacteriota,Frankiales
ASV710,Acidobacteriota,Acidobacteriales
ASV711,Planctomycetota,Isosphaerales
ASV716,Planctomycetota,Isosphaerales
ASV717,Acidobacteriota,Acidobacteriales
