name+AF8-sirius,Pathway,Class,Subclass
neg19472,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19508,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19599,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19707,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19794,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1989,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20099,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2049,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2052,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20658,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2073,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20934,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2254,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg226,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2283,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2411,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2459,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2603,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2776,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2791,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2798,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2819,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2839,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2843,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2860,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2911,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2914,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2977,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3104,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg317,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3304,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3315,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3328,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3367,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3376,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3377,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3851,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3868,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3875,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg3966,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4021,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4087,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4170,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg434,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4399,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4464,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4516,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4528,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4538,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4543,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4571,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4707,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4850,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4915,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4925,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4945,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg4950,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5253,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg535,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5407,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg55,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5579,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5583,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5585,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5588,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5589,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5590,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5602,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5604,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg5610,Amino acids and Peptides,Amino acids,Amino acids and derivatives
